Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,GDP ($ per capita)
Bangladesh ,ASIA,147365352,144000,1023.4,0.4,-0.71,62.6,43.1,7.3,62.11,3.07,34.82,2,29.8,8.27,199,198,603,1900
Barbados ,AMERICA,279912,431,649.5,22.51,-0.31,12.5,97.4,481.9,37.21,2.33,60.46,2,12.71,8.67,0.06,0.16,0.78,15700
Belarus ,EUROPE,10293011,207600,49.6,0,2.54,13.37,99.6,319.1,29.55,0.6,69.85,4,11.16,14.02,93,316,591,6100
Belgium ,EUROPE,10379067,30528,340,0.22,1.23,4.68,98,462.6,23.28,0.4,76.32,3,10.38,10.27,0.01,0.24,749,29100
Belize ,AMERICA,287730,22966,12.5,1.68,0,25.69,94.1,115.7,2.85,1.71,95.44,2,28.84,5.72,142,152,612,4900
Benin ,AFRICA,7862944,112620,69.8,0.11,0,85,40.9,9.7,18.08,2.4,79.52,2,38.85,12.22,316,138,546,1100
Bermuda ,AMERICA,65773,53,1241,194.34,2.49,8.53,98,851.4,20,0,80,2,11.4,7.74,0.01,0.1,0.89,36000
Bhutan ,ASIA,2279723,47000,48.5,0,0,100.44,42.2,14.3,3.09,0.43,96.48,2,33.65,12.7,258,379,363,1300
Bolivia ,AMERICA,8989046,1098580,8.2,0,-1.32,53.11,87.2,71.9,2.67,0.19,97.14,1.5,23.3,7.53,128,352,0.52,2400
Bosnia & Herzegovina ,EUROPE,4498976,51129,88,0.04,0.31,21.05,,215.4,13.6,2.96,83.44,4,8.77,8.27,142,308,0.55,6100
Botswana ,AFRICA,1639833,600370,2.7,0,0,54.58,79.8,80.5,0.65,0.01,99.34,1,23.08,29.5,24,469,507,9000
Brazil ,AMERICA,188078227,8511965,22.1,0.09,-0.03,29.61,86.4,225.3,6.96,0.9,92.15,2,16.56,6.17,84,0.4,516,7600
British Virgin Is. ,AMERICA,23098,153,151,52.29,10.01,18.05,97.8,506.5,20,6.67,73.33,2,14.89,4.42,18,62,0.92,16000
Brunei ,ASIA,379444,5770,65.8,2.79,3.59,12.61,93.9,237.2,0.57,0.76,98.67,2,18.79,3.45,36,561,403,18600
Bulgaria ,EUROPE,7385367,110910,66.6,0.32,-4.58,20.55,98.6,336.3,40.02,1.92,58.06,3,9.65,14.27,93,304,603,7600
Burkina Faso ,AFRICA,13902972,274200,50.7,0,0,97.57,26.6,7,14.43,0.19,85.38,2,45.62,15.6,322,196,482,1100
Burma ,ASIA,47382633,678500,69.8,0.28,-1.8,67.24,85.3,10.1,15.19,0.97,83.84,2,17.91,9.83,564,82,353,1800
Burundi ,AFRICA,8090068,27830,290.7,0,-0.06,69.29,51.6,3.4,35.05,14.02,50.93,2,42.22,13.46,463,203,334,600
Cambodia ,ASIA,13881427,181040,76.7,0.24,0,71.48,69.4,2.6,20.96,0.61,78.43,2,26.9,9.06,0.35,0.3,0.35,1900
Cameroon ,AFRICA,17340702,475440,36.5,0.08,0,68.26,79,5.7,12.81,2.58,84.61,1.5,33.89,13.47,448,0.17,382,1800
Canada ,AMERICA,33098932,9984670,3.3,2.02,5.96,4.75,97,552.2,4.96,0.02,95.02,,10.78,7.8,22,294,684,29800
Cape Verde ,AFRICA,420979,4033,104.4,23.93,-12.07,47.77,76.6,169.6,9.68,0.5,89.82,3,24.87,6.55,121,219,0.66,1400
Cayman Islands ,AMERICA,45436,262,173.4,61.07,18.75,8.19,98,836.3,3.85,0,96.15,2,12.74,4.89,14,32,954,35000
Central African Rep. ,AFRICA,4303356,622984,6.9,0,0,91,51,2.3,3.1,0.14,96.76,2,33.91,18.65,0.55,0.2,0.25,1100
Chad ,AFRICA,9944201,1284000,7.7,0,-0.11,93.82,47.5,1.3,2.86,0.02,97.12,2,45.73,16.38,335,259,406,1200
Chile ,AMERICA,16134219,756950,21.3,0.85,0,8.8,96.2,213,2.65,0.42,96.93,3,15.23,5.81,0.06,493,447,9900
China ,ASIA,1313973713,9596960,136.9,0.15,-0.4,24.18,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,125,473,403,5000
Colombia ,AMERICA,43593035,1138910,38.3,0.28,-0.31,20.97,92.5,176.2,2.42,1.67,95.91,2,20.48,5.58,125,342,533,6300
Comoros ,AFRICA,690948,2170,318.4,15.67,0,74.93,56.5,24.5,35.87,23.32,40.81,2,36.93,8.2,0.4,0.04,0.56,700
Congo. Dem. Rep. ,AFRICA,62660551,2345410,26.7,0,0,94.69,65.5,0.2,2.96,0.52,96.52,2,43.69,13.27,0.55,0.11,0.34,700
Congo. Repub. of the ,AFRICA,3702314,342000,10.8,0.05,-0.17,93.86,83.8,3.7,0.51,0.13,99.36,2,42.57,12.93,62,0.57,369,700
Cook Islands ,OCEANIA,21388,240,89.1,50,,,95,289.9,17.39,13.04,69.57,2,21,,151,96,753,5000
Costa Rica ,AMERICA,4075261,51100,79.8,2.52,0.51,9.95,96,340.7,4.41,5.88,89.71,2,18.32,4.36,88,299,614,9100
Cote d'Ivoire ,AFRICA,17654843,322460,54.8,0.16,-0.07,90.83,50.9,14.6,9.75,13.84,76.41,2,35.11,14.84,279,171,0.55,1400
Croatia ,EUROPE,4494749,56542,79.5,10.32,1.58,6.84,98.5,420.4,26.09,2.27,71.65,,9.61,11.48,0.07,308,622,10600
Cuba ,AMERICA,11382820,110860,102.7,3.37,-1.58,6.33,97,74.7,33.05,7.6,59.35,2,11.89,7.22,55,261,684,2900
Cyprus ,ASIA,784301,9250,84.8,7.01,0.43,7.18,97.6,,7.79,4.44,87.77,3,12.56,7.68,37,198,765,19200
Czech Republic ,EUROPE,10235455,78866,129.8,0,0.97,3.93,99.9,314.3,39.8,3.05,57.15,3,9.02,10.59,34,393,573,15700
Denmark ,EUROPE,5450661,43094,126.5,16.97,2.48,4.56,100,614.6,54.02,0.19,45.79,3,11.13,10.36,18,246,735,31100
Djibouti ,AFRICA,486530,23000,21.2,1.37,0,104.13,67.9,22.8,0.04,0,99.96,1,39.53,19.31,179,225,596,1300
Dominica ,AMERICA,68910,754,91.4,19.63,-13.87,14.15,94,304.8,6.67,20,73.33,2,15.27,6.73,177,328,495,5400
Dominican Republic ,AMERICA,9183984,48730,188.5,2.64,-3.22,32.38,84.7,97.4,22.65,10.33,67.02,2,23.22,5.73,112,306,582,6000
East Timor ,ASIA,1062777,15007,70.8,4.7,0,47.41,58.6,,4.71,0.67,94.62,2,26.99,6.24,85,231,684,500
Ecuador ,AMERICA,13547510,283560,47.8,0.79,-8.58,23.66,92.5,125.6,5.85,4.93,89.22,2,22.29,4.23,0.07,312,618,3300
Egypt ,AFRICA,78887007,1001450,78.8,0.24,-0.22,32.59,57.7,131.8,2.87,0.48,96.65,1,22.94,5.23,149,357,493,4000
El Salvador ,AMERICA,6822378,21040,324.3,1.46,-3.74,25.1,80.2,142.4,31.85,12.07,56.08,2,26.61,5.78,99,302,599,4800
Equatorial Guinea ,AFRICA,540109,28051,19.3,1.06,0,85.13,85.7,18.5,4.63,3.57,91.8,2,35.59,15.06,0.03,906,62,2700
Eritrea ,AFRICA,4786994,121320,39.5,1.84,0,74.87,58.6,7.9,4.95,0.03,95.02,1.5,34.33,9.6,102,254,643,700
Estonia ,EUROPE,1324333,45226,29.3,8.39,-3.16,7.87,99.8,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,294,666,12300
Ethiopia ,AFRICA,74777981,1127127,66.3,0,0,95.32,42.7,8.2,10.71,0.75,88.54,2,37.98,14.86,475,99,426,700
Faroe Islands ,EUROPE,47246,1399,33.8,79.84,1.41,6.24,,503.8,2.14,0,97.86,,14.05,8.7,0.27,0.11,0.62,22000
Fiji ,OCEANIA,905949,18270,49.6,6.18,-3.14,12.62,93.7,112.6,10.95,4.65,84.4,2,22.55,5.65,89,135,776,5800
Finland ,EUROPE,5231372,338145,15.5,0.37,0.95,3.57,100,405.3,7.19,0.03,92.78,3,10.45,9.86,28,295,676,27400
France ,EUROPE,60876136,547030,111.3,0.63,0.66,4.26,99,586.4,33.53,2.07,64.4,4,11.99,9.14,22,214,764,27600
French Guiana ,AMERICA,199509,91000,2.2,0.42,6.27,12.07,83,255.6,0.14,0.05,99.81,2,20.46,4.88,66,156,778,8300
French Polynesia ,OCEANIA,274578,4167,65.9,60.6,2.94,8.44,98,194.5,0.82,5.46,93.72,2,16.68,4.69,31,0.19,769,17500
Gabon ,AFRICA,1424906,267667,5.3,0.33,0,53.64,63.2,27.4,1.26,0.66,98.08,2,36.16,12.25,61,592,348,5500
Gambia. The ,AFRICA,1641564,11300,145.3,0.71,1.57,72.02,40.1,26.8,25,0.5,74.5,2,39.37,12.25,308,142,549,1700
Gaza Strip ,ASIA,1428757,360,3968.8,11.11,1.6,22.93,,244.3,28.95,21.05,50,3,39.45,3.8,0.03,283,687,600
Georgia ,EUROPE,4661473,69700,66.9,0.44,-4.7,18.59,99,146.6,11.44,3.86,84.7,3,10.41,9.23,172,275,553,2500
Germany ,EUROPE,82422299,357021,230.9,0.67,2.18,4.16,99,667.9,33.85,0.59,65.56,3,8.25,10.62,9,296,695,27600
Ghana ,AFRICA,22409572,239460,93.6,0.23,-0.64,51.43,74.8,14.4,16.26,9.67,74.07,2,30.52,9.72,366,246,387,2200
Gibraltar ,EUROPE,27928,7,3989.7,171.43,0,5.13,,877.7,0,0,100,,10.74,9.31,,,,17500
Greece ,EUROPE,10688058,131940,81,10.37,2.35,5.53,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,54,213,733,20000
Greenland ,AMERICA,56361,2166086,0,2.04,-8.37,15.82,,448.9,0,0,100,1,15.93,7.84,,,,20000
Grenada ,AMERICA,89703,344,260.8,35.17,-13.92,14.62,98,364.5,5.88,29.41,64.71,2,22.08,6.88,54,0.18,766,5000
Guadeloupe ,AMERICA,452776,1780,254.4,17.19,-0.15,8.6,90,463.8,11.24,3.55,85.21,2,15.05,6.09,0.15,0.17,0.68,8000
Guam ,OCEANIA,171019,541,316.1,23.2,0,6.94,99,492,9.09,16.36,74.55,2,18.79,4.48,,,,21000
Guatemala ,AMERICA,12293545,108890,112.9,0.37,-1.67,35.93,70.6,92.1,12.54,5.03,82.43,2,29.88,5.2,227,188,585,4100
Guernsey ,EUROPE,65409,78,838.6,64.1,3.84,4.71,,842.4,,,,3,8.81,10.01,0.03,0.1,0.87,20000
Guinea ,AFRICA,9690222,245857,39.4,0.13,-3.06,90.37,35.9,2.7,3.63,2.58,93.79,2,41.76,15.48,237,362,401,2100
Guinea-Bissau ,AFRICA,1442029,36120,39.9,0.97,-1.57,107.17,42.4,7.4,10.67,8.82,80.51,2,37.22,16.53,0.62,0.12,0.26,800
Guyana ,AMERICA,767245,214970,3.6,0.21,-2.07,33.26,98.8,143.5,2.44,0.15,97.41,2,18.28,8.28,0.37,203,427,4000
Haiti ,AMERICA,8308504,27750,299.4,6.38,-3.4,73.45,52.9,16.9,28.3,11.61,60.09,2,36.44,12.17,0.28,0.2,0.52,1600
Honduras ,AMERICA,7326496,112090,65.4,0.73,-1.99,29.32,76.2,67.5,9.55,3.22,87.23,2,28.24,5.28,139,312,549,2600
Hong Kong ,ASIA,6940432,1092,6355.7,67.12,5.24,2.97,93.5,546.7,5.05,1.01,93.94,2,7.29,6.29,1,92,906,28800
Hungary ,EUROPE,9981334,93030,107.3,0,0.86,8.57,99.4,336.2,50.09,2.06,47.85,3,9.72,13.11,37,312,651,13900
Iceland ,EUROPE,299388,103000,2.9,4.83,2.38,3.31,99.9,647.7,0.07,0,99.93,3,13.64,6.72,86,0.15,765,30900
India ,ASIA,1095351995,3287590,333.2,0.21,-0.07,56.29,59.5,45.4,54.4,2.74,42.86,2.5,22.01,8.18,186,276,538,2900
Indonesia ,ASIA,245452739,1919440,127.9,2.85,0,35.6,87.9,52,11.32,7.23,81.45,2,20.34,6.25,134,458,408,3200
Iran ,ASIA,68688433,1648000,41.7,0.15,-0.84,41.58,79.4,276.4,8.72,1.39,89.89,1,17,5.55,116,424,0.46,7000
Iraq ,ASIA,26783383,437072,61.3,0.01,0,50.25,40.4,38.6,13.15,0.78,86.07,1,31.98,5.37,73,666,261,1500
Ireland ,EUROPE,4062235,70280,57.8,2.06,4.99,5.39,98,500.5,15.2,0.03,84.77,3,14.45,7.82,0.05,0.46,0.49,29600
Isle of Man ,EUROPE,75441,572,131.9,27.97,5.36,5.93,,676,9,0,91,3,11.05,11.19,0.01,0.13,0.86,21000
Israel ,ASIA,6352117,20770,305.8,1.31,0.68,7.03,95.4,462.3,16.39,4.17,79.44,3,17.97,6.18,26,317,657,19800
Italy ,EUROPE,58133509,301230,193,2.52,2.07,5.94,98.6,430.9,27.79,9.53,62.68,,8.72,10.4,21,291,688,26700
Jamaica ,AMERICA,2758124,10991,250.9,9.3,-4.92,12.36,87.9,124,16.07,10.16,73.77,2,20.82,6.52,49,337,615,3900
Japan ,ASIA,127463611,377835,337.4,7.87,0,3.26,99,461.2,12.19,0.96,86.85,3,9.37,9.16,17,258,725,28200
Jersey ,EUROPE,91084,116,785.2,60.34,2.76,5.24,,811.3,0,0,100,3,9.3,9.28,0.05,0.02,0.93,24800
Jordan ,ASIA,5906760,92300,64,0.03,6.59,17.35,91.3,104.5,2.67,1.83,95.5,1,21.25,2.65,33,287,0.68,4300
Kazakhstan ,EUROPE,15233244,2717300,5.6,0,-3.35,29.21,98.4,164.1,7.98,0.05,91.97,4,16,9.42,67,386,547,6300
Kenya ,AFRICA,34707817,582650,59.6,0.09,-0.1,61.47,85.1,8.1,8.08,0.98,90.94,1.5,39.72,14.02,163,188,651,1000
Kiribati ,OCEANIA,105432,811,130,140.94,0,48.52,,42.7,2.74,50.68,46.58,2,30.65,8.26,89,242,668,800
Korea. North ,ASIA,23113019,120540,191.8,2.07,0,24.04,99,42.4,20.76,2.49,76.75,3,15.54,7.13,0.3,0.34,0.36,1300
Korea. South ,ASIA,48846823,98480,496,2.45,0,7.05,97.9,486.1,17.18,1.95,80.87,3,10,5.85,33,403,563,17800
Kuwait ,ASIA,2418393,17820,135.7,2.8,14.18,9.95,83.5,211,0.73,0.11,99.16,1,21.94,2.41,4,479,516,19000
Kyrgyzstan ,EUROPE,5213898,198500,26.3,0,-2.45,35.64,97,84,7.3,0.35,92.35,2.5,22.8,7.08,353,208,439,1600
Laos ,ASIA,6368481,236800,26.9,0,0,85.22,66.4,14.1,3.8,0.35,95.85,2,35.49,11.55,455,287,258,1700
Latvia ,EUROPE,2274735,64589,35.2,0.82,-2.23,9.55,99.8,321.4,29.67,0.47,69.86,3,9.24,13.66,0.04,261,699,10200
Lebanon ,ASIA,3874050,10400,372.5,2.16,0,24.52,87.4,255.6,16.62,13.98,69.4,,18.52,6.21,0.12,0.21,0.67,4800
Lesotho ,AFRICA,2022331,30355,66.6,0,-0.74,84.23,84.8,23.7,10.87,0.13,89,3,24.75,28.71,163,443,394,3000
Liberia ,AFRICA,3042004,111370,27.3,0.52,0,128.87,57.5,2.3,3.95,2.28,93.77,2,44.77,23.1,769,54,177,1000
Libya ,AFRICA,5900754,1759540,3.4,0.1,0,24.6,82.6,127.1,1.03,0.19,98.78,,26.49,3.48,76,499,425,6400
Liechtenstein ,EUROPE,33987,160,212.4,0,4.85,4.7,100,585.5,25,0,75,4,10.21,7.18,0.06,0.39,0.55,25000
Lithuania ,EUROPE,3585906,65200,55,0.14,-0.71,6.89,99.6,223.4,45.22,0.91,53.87,,8.75,10.98,55,325,0.62,11400
Luxembourg ,EUROPE,474413,2586,183.5,0,8.97,4.81,100,515.4,23.28,0.4,76.32,,11.94,8.41,0.01,0.13,0.86,55100
Macau ,ASIA,453125,28,16183,146.43,4.86,4.39,94.5,384.9,0,0,100,2,8.48,4.47,1,72,927,19400
Macedonia ,EUROPE,2050554,25333,80.9,0,-1.45,10.09,,260,22.26,1.81,75.93,3,12.02,8.77,118,319,563,6700
Madagascar ,AFRICA,18595469,587040,31.7,0.82,0,76.83,68.9,3.6,5.07,1.03,93.91,2,41.41,11.11,276,165,559,800
Malawi ,AFRICA,13013926,118480,109.8,0,0,103.32,62.7,7.9,23.38,1.49,75.13,2,43.13,19.33,342,158,499,600
Malaysia ,ASIA,24385858,329750,74,1.42,0,17.7,88.7,179,5.48,17.61,76.91,2,22.86,5.05,84,0.48,436,9000
Maldives ,ASIA,359008,300,1196.7,214.67,0,56.52,97.2,90,13.33,16.67,70,2,34.81,7.06,0.2,0.18,0.62,3900
Mali ,AFRICA,11716829,1240000,9.5,0,-0.33,116.79,46.4,6.4,3.82,0.03,96.15,2,49.82,16.89,0.45,0.17,0.38,900
Malta ,EUROPE,400214,316,1266.5,62.28,2.07,3.89,92.8,505,28.13,3.13,68.74,,10.22,8.1,0.03,0.23,0.74,17700
Marshall Islands ,OCEANIA,60422,11854,5.1,3.12,-6.04,29.45,93.7,91.2,16.67,38.89,44.44,2,33.05,4.78,317,149,534,1600
Martinique ,AMERICA,436131,1100,396.5,31.82,-0.05,7.09,97.7,394.4,10.38,9.43,80.19,2,13.74,6.48,0.06,0.11,0.83,14400
Mauritania ,AFRICA,3177388,1030700,3.1,0.07,0,70.89,41.7,12.9,0.48,0.01,99.51,1,40.99,12.16,0.25,0.29,0.46,1800
Mauritius ,AFRICA,1240827,2040,608.3,8.68,-0.9,15.03,85.6,289.3,49.26,2.96,47.78,2,15.43,6.86,59,298,643,11400
Mayotte ,AFRICA,201234,374,538.1,49.52,6.78,62.4,,49.7,,,,2,40.95,7.7,,,,2600
Mexico ,AMERICA,107449525,1972550,54.5,0.47,-4.87,20.91,92.2,181.6,12.99,1.31,85.7,1.5,20.69,4.74,38,259,702,9000
Micronesia. Fed. St. ,OCEANIA,108004,702,153.9,870.66,-20.99,30.21,89,114.8,5.71,45.71,48.58,2,24.68,4.75,289,152,559,2000
Moldova ,EUROPE,4466706,33843,132,0,-0.26,40.42,99.1,208.1,55.3,10.79,33.91,,15.7,12.64,213,233,555,1800
Monaco ,EUROPE,32543,2,16271.5,205,7.75,5.43,99,1035.6,0,0,100,,9.19,12.91,0.17,,,27000
Mongolia ,ASIA,2832224,1564116,1.8,0,0,53.79,97.8,55.1,0.77,0,99.23,1,21.59,6.95,206,214,0.58,1800
Montserrat ,AMERICA,9439,102,92.5,39.22,0,7.35,97,,20,0,80,2,17.59,7.1,,,,3400
Morocco ,AFRICA,33241259,446550,74.4,0.41,-0.98,41.62,51.7,40.4,19.61,2.17,78.22,,21.98,5.58,217,357,426,4000
Mozambique ,AFRICA,19686505,801590,24.6,0.31,0,130.79,47.8,3.5,5.1,0.3,94.6,2,35.18,21.35,262,348,0.39,1200
Namibia ,AFRICA,2044147,825418,2.5,0.19,0,48.98,84,62.6,0.99,0,99.01,1,24.32,18.86,97,315,588,7200
Nauru ,OCEANIA,13287,21,632.7,142.86,0,9.95,,143,0,0,100,2,24.76,6.7,,,,5000
Nepal ,ASIA,28287147,147181,192.2,0,0,66.98,45.2,15.9,21.68,0.64,77.68,,30.98,9.31,0.38,0.21,0.41,1400
Netherlands ,EUROPE,16491461,41526,397.1,1.09,2.91,5.04,99,460.8,26.71,0.97,72.32,3,10.9,8.68,21,244,736,28600
Netherlands Antilles ,AMERICA,221736,960,231,37.92,-0.41,10.03,96.7,365.3,10,0,90,2,14.78,6.45,0.01,0.15,0.84,11400
New Caledonia ,OCEANIA,219246,19060,11.5,11.83,0,7.72,91,252.2,0.38,0.33,99.29,2,18.11,5.69,0.15,88,762,15000
New Zealand ,OCEANIA,4076140,268680,15.2,5.63,4.05,5.85,99,441.7,5.6,6.99,87.41,3,13.76,7.53,43,273,684,21600
Nicaragua ,AMERICA,5570129,129494,43,0.7,-1.22,29.11,67.5,39.7,15.94,1.94,82.12,2,24.51,4.45,165,275,0.56,2300
Niger ,AFRICA,12525094,1267000,9.9,0,-0.67,121.69,17.6,1.9,3.54,0.01,96.45,1,50.73,20.91,0.39,0.17,0.44,800
Nigeria ,AFRICA,131859731,923768,142.7,0.09,0.26,98.8,68,9.3,31.29,2.96,65.75,1.5,40.43,16.94,269,487,244,900
N. Mariana Islands ,OCEANIA,82459,477,172.9,310.69,9.61,7.11,97,254.7,13.04,4.35,82.61,2,19.43,2.29,,,,12500
Norway ,EUROPE,4610820,323802,14.2,7.77,1.74,3.7,100,461.7,2.87,0,97.13,3,11.46,9.4,21,415,564,37800
Oman ,ASIA,3102229,212460,14.6,0.98,0.28,19.51,75.8,85.5,0,0.14,99.74,1,36.24,3.81,27,0.39,583,13100
Pakistan ,ASIA,165803560,803940,206.2,0.13,-2.77,72.44,45.7,31.8,27.87,0.87,71.26,1,29.74,8.23,216,251,533,2100
Palau ,OCEANIA,20579,458,44.9,331.66,2.85,14.84,92,325.6,8.7,4.35,86.95,2,18.03,6.8,62,0.12,818,9000
Panama ,AMERICA,3191319,78200,40.8,3.18,-0.91,20.47,92.6,137.9,7.36,1.98,90.66,2,21.74,5.36,68,156,776,6300
Papua New Guinea ,OCEANIA,5670544,462840,12.3,1.11,0,51.45,64.6,10.9,0.46,1.44,98.1,2,29.36,7.25,353,381,266,2200
Paraguay ,AMERICA,6506464,406750,16,0,-0.08,25.63,94,49.2,7.6,0.23,92.17,2,29.1,4.49,224,207,569,4700
Peru ,AMERICA,28302603,1285220,22,0.19,-1.05,31.94,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65,5100
Philippines ,ASIA,89468677,300000,298.2,12.1,-1.5,23.51,92.6,38.4,18.95,16.77,64.28,2,24.89,5.41,144,326,0.53,4600
Poland ,EUROPE,38536869,312685,123.3,0.16,-0.49,8.51,99.8,306.3,45.91,1.12,52.97,3,9.85,9.89,0.05,311,0.64,11100
Portugal ,EUROPE,10605870,92391,114.8,1.94,3.57,5.05,93.3,399.2,21.75,7.81,70.44,3,10.72,10.5,53,274,673,18000
Puerto Rico ,AMERICA,3927188,13790,284.8,3.63,-1.46,8.24,94.1,283.1,3.95,5.52,90.53,2,12.77,7.65,0.01,0.45,0.54,16800
Qatar ,ASIA,885359,11437,77.4,4.92,16.29,18.61,82.5,232,1.64,0.27,98.09,1,15.56,4.72,2,801,197,21500
Reunion ,AFRICA,787584,2517,312.9,8.22,0,7.78,88.9,380.9,13.6,1.2,85.2,2,18.9,5.49,0.08,0.19,0.73,5800
Romania ,EUROPE,22303552,237500,93.9,0.09,-0.13,26.43,98.4,196.9,40.82,2.25,56.93,3,10.7,11.77,101,0.35,549,7000
Russia ,EUROPE,142893540,17075200,8.4,0.22,1.02,15.39,99.6,280.6,7.33,0.11,92.56,,9.95,14.65,54,371,575,8900
Rwanda ,AFRICA,8648248,26338,328.4,0,0,91.23,70.4,2.7,40.54,12.16,47.3,3,40.37,16.09,401,229,0.37,1300
Saint Helena ,AFRICA,7502,413,18.2,14.53,0,19,97,293.3,12.9,0,87.1,,12.13,6.53,,,,2500
Saint Kitts & Nevis ,AMERICA,39129,261,149.9,51.72,-7.11,14.49,97,638.9,19.44,2.78,77.78,2,18.02,8.33,35,258,707,8800
Saint Lucia ,AMERICA,168458,616,273.5,25.65,-2.67,13.53,67,303.3,6.56,22.95,70.49,2,19.68,5.08,0.07,0.2,0.73,5400
St Pierre & Miquelon ,AMERICA,7026,242,29,49.59,-4.86,7.54,99,683.2,13.04,0,86.96,,13.52,6.83,,,,6900
Saint Vincent and the Grenadines ,AMERICA,117848,389,303,21.59,-7.64,14.78,96,190.9,17.95,17.95,64.1,2,16.18,5.98,0.1,0.26,0.64,2900
Samoa ,OCEANIA,176908,2944,60.1,13.69,-11.7,27.71,99.7,75.2,21.2,24.38,54.42,2,16.43,6.62,114,584,302,5600
San Marino ,EUROPE,29251,61,479.5,0,10.98,5.73,96,704.3,16.67,0,83.33,,10.02,8.17,,,,34600
Sao Tome & Principe ,AFRICA,193413,1001,193.2,20.88,-2.72,43.11,79.3,36.2,6.25,48.96,44.79,2,40.25,6.47,167,148,684,1200
Saudi Arabia ,ASIA,27019731,1960582,13.8,0.13,-2.71,13.24,78.8,140.6,1.67,0.09,98.24,1,29.34,2.58,33,613,354,11800
Senegal ,AFRICA,11987121,196190,61.1,0.27,0.2,55.51,40.2,22.2,12.78,0.21,87.01,2,32.78,9.42,172,209,619,1600
Serbia ,EUROPE,9396411,88361,106.3,0,-1.33,12.89,93,285.8,33.35,3.2,63.45,,,,166,255,579,2200
Seychelles ,AFRICA,81541,455,179.2,107.91,-5.69,15.53,58,262.4,2.22,13.33,84.45,2,16.03,6.29,32,304,665,7800
Sierra Leone ,AFRICA,6005250,71740,83.7,0.56,0,143.64,31.4,4,6.98,0.89,92.13,2,45.76,23.03,0.49,0.31,0.21,500
Singapore ,ASIA,4492150,693,6482.2,27.85,11.53,2.29,92.5,411.4,1.64,0,98.36,2,9.34,4.28,0,339,661,23700
Slovakia ,EUROPE,5439448,48845,111.4,0,0.3,7.41,,220.1,30.16,2.62,67.22,3,10.65,9.45,35,294,672,13300
Slovenia ,EUROPE,2010347,20273,99.2,0.23,1.12,4.45,99.7,406.1,8.6,1.49,89.91,,8.98,10.31,28,369,603,19000
